,顾客,客户价值分类
1,C10018,新客户
2,C1002,新客户
5,C10029,新客户
7,C10036,新客户
8,C10038,新客户
19,C10068,新客户
22,C10078,新客户
24,C10080,新客户
26,C10083,新客户
27,C10084,新客户
37,C10113,新客户
38,C10115,新客户
41,C10120,新客户
43,C10128,新客户
45,C10136,新客户
48,C10149,新客户
49,C10152,新客户
54,C10170,新客户
70,C10248,新客户
72,C10258,新客户
74,C10267,新客户
75,C10268,新客户
77,C10290,新客户
83,C10310,新客户
85,C1032,新客户
87,C10328,新客户
93,C10358,新客户
98,C10399,新客户
99,C10401,新客户
109,C10468,新客户
115,C10479,新客户
122,C10523,新客户
123,C10526,新客户
132,C10572,新客户
134,C10581,新客户
139,C10601,新客户
145,C10626,新客户
163,C10737,新客户
164,C10740,新客户
166,C1075,新客户
169,C10767,新客户
174,C10776,新客户
175,C1078,新客户
176,C10793,新客户
179,C10800,新客户
186,C10814,新客户
192,C1083,新客户
194,C10836,新客户
197,C10847,新客户
211,C10893,新客户
218,C10930,新客户
221,C10950,新客户
223,C10958,新客户
224,C10959,新客户
227,C10969,新客户
228,C10972,新客户
230,C10979,新客户
231,C10983,新客户
233,C10988,新客户
243,C11012,新客户
244,C11013,新客户
256,C11070,新客户
257,C11076,新客户
258,C11077,新客户
270,C11121,新客户
271,C11127,新客户
274,C11134,新客户
275,C11139,新客户
285,C11190,新客户
287,C11199,新客户
300,C11262,新客户
303,C11275,新客户
313,C1132,新客户
317,C11336,新客户
318,C11340,新客户
325,C1137,新客户
327,C11376,新客户
331,C11398,新客户
334,C11409,新客户
338,C11422,新客户
339,C11424,新客户
343,C11471,新客户
363,C11529,新客户
375,C11554,新客户
376,C11556,新客户
379,C11567,新客户
387,C11604,新客户
389,C11609,新客户
392,C11619,新客户
403,C11664,新客户
408,C11676,新客户
421,C11710,新客户
424,C11714,新客户
436,C11758,新客户
443,C11796,新客户
449,C11821,新客户
452,C11824,新客户
457,C11836,新客户
458,C11837,新客户
460,C11845,新客户
466,C1190,新客户
476,C11925,新客户
480,C11945,新客户
490,C11977,新客户
492,C11983,新客户
499,C12005,新客户
513,C12053,新客户
517,C12068,新客户
519,C1208,新客户
524,C12097,新客户
547,C12189,新客户
558,C12228,新客户
574,C12287,新客户
581,C12316,新客户
587,C12344,新客户
591,C12357,新客户
597,C1237,新客户
606,C12419,新客户
608,C12433,新客户
631,C12498,新客户
632,C125,新客户
643,C12528,新客户
645,C12531,新客户
653,C12552,新客户
657,C12561,新客户
660,C12567,新客户
665,C12579,新客户
672,C1260,新客户
685,C12660,新客户
689,C12681,新客户
690,C12685,新客户
692,C12693,新客户
713,C12795,新客户
716,C12806,新客户
743,C1293,新客户
748,C12946,新客户
751,C12949,新客户
759,C12972,新客户
761,C12977,新客户
770,C130,新客户
774,C13017,新客户
781,C13049,新客户
785,C13066,新客户
792,C13101,新客户
793,C13106,新客户
798,C13127,新客户
801,C1313,新客户
802,C1314,新客户
806,C1316,新客户
822,C132,新客户
826,C13235,新客户
835,C13288,新客户
840,C13319,新客户
844,C13335,新客户
855,C13373,新客户
856,C13374,新客户
857,C13380,新客户
859,C13385,新客户
865,C13394,新客户
871,C1341,新客户
872,C13415,新客户
876,C1343,新客户
878,C13432,新客户
888,C13460,新客户
907,C13533,新客户
908,C13535,新客户
922,C13567,新客户
926,C13583,新客户
932,C13624,新客户
933,C13631,新客户
934,C13636,新客户
939,C13672,新客户
944,C13688,新客户
947,C13701,新客户
956,C13735,新客户
960,C13753,新客户
961,C13760,新客户
979,C13888,新客户
981,C13900,新客户
990,C13913,新客户
996,C13940,新客户
997,C13943,新客户
1000,C13954,新客户
1014,C13985,新客户
1017,C1400,新客户
1024,C14032,新客户
1031,C14062,新客户
1035,C14073,新客户
1036,C14079,新客户
1039,C14086,新客户
1042,C14091,新客户
1043,C14098,新客户
1044,C141,新客户
1048,C14108,新客户
1054,C14121,新客户
1057,C14139,新客户
1071,C14185,新客户
1085,C14226,新客户
1088,C14232,新客户
1090,C14239,新客户
1101,C14290,新客户
1115,C14340,新客户
1124,C14370,新客户
1128,C14381,新客户
1136,C14406,新客户
1139,C14417,新客户
1142,C14426,新客户
1144,C14433,新客户
1145,C14436,新客户
1148,C14443,新客户
1155,C1447,新客户
1159,C14482,新客户
1164,C1450,新客户
1165,C14502,新客户
1181,C14583,新客户
1182,C14585,新客户
1203,C14662,新客户
1222,C14740,新客户
1224,C14746,新客户
1227,C14767,新客户
1236,C14792,新客户
1239,C14805,新客户
1240,C14806,新客户
1245,C14818,新客户
1246,C14820,新客户
1248,C14826,新客户
1252,C14838,新客户
1253,C14844,新客户
1254,C14853,新客户
1255,C14860,新客户
1259,C14888,新客户
1261,C14898,新客户
1265,C14922,新客户
1277,C14964,新客户
1284,C14999,新客户
1286,C15007,新客户
1288,C1501,新客户
1290,C15011,新客户
1299,C15051,新客户
1306,C15088,新客户
1312,C15101,新客户
1319,C1514,新客户
1321,C15147,新客户
1322,C15148,新客户
1326,C1516,新客户
1327,C15160,新客户
1333,C15189,新客户
1336,C15198,新客户
1341,C15212,新客户
1343,C15228,新客户
1351,C15257,新客户
1368,C15306,新客户
1370,C15314,新客户
1376,C15353,新客户
1379,C15361,新客户
1385,C15376,新客户
1386,C15377,新客户
1389,C15382,新客户
1391,C15384,新客户
1397,C154,新客户
1403,C15429,新客户
1417,C15483,新客户
1419,C15502,新客户
1424,C15510,新客户
1425,C15512,新客户
1428,C15524,新客户
1436,C1556,新客户
1438,C15578,新客户
1440,C15594,新客户
1452,C15640,新客户
1459,C15678,新客户
1463,C15694,新客户
1464,C15695,新客户
1466,C1573,新客户
1467,C15740,新客户
1477,C15777,新客户
1482,C15789,新客户
1483,C15794,新客户
1484,C15796,新客户
1489,C15810,新客户
1500,C1585,新客户
1502,C15854,新客户
1505,C15864,新客户
1508,C15878,新客户
1511,C15892,新客户
1522,C15947,新客户
1523,C15951,新客户
1524,C15952,新客户
1532,C15987,新客户
1534,C15991,新客户
1536,C1601,新客户
1542,C16028,新客户
1548,C16052,新客户
1549,C16057,新客户
1559,C16089,新客户
1562,C16092,新客户
1564,C16095,新客户
1580,C16147,新客户
1584,C16166,新客户
1586,C16171,新客户
1589,C16205,新客户
1595,C16228,新客户
1598,C16239,新客户
1599,C16240,新客户
1605,C16276,新客户
1609,C16304,新客户
1620,C1635,新客户
1624,C16360,新客户
1632,C1638,新客户
1636,C164,新客户
1639,C16413,新客户
1647,C16444,新客户
1648,C16445,新客户
1657,C16472,新客户
1658,C16473,新客户
1659,C16477,新客户
1666,C165,新客户
1669,C16520,新客户
1670,C16521,新客户
1675,C16548,新客户
1676,C16549,新客户
1679,C16556,新客户
1680,C1656,新客户
1682,C16569,新客户
1686,C16580,新客户
1687,C16584,新客户
1693,C166,新客户
1695,C1661,新客户
1702,C16641,新客户
1703,C16656,新客户
1707,C16680,新客户
1715,C16702,新客户
1718,C16708,新客户
1725,C16720,新客户
1729,C16763,新客户
1739,C16799,新客户
1740,C16800,新客户
1746,C16819,新客户
1752,C1684,新客户
1763,C16886,新客户
1768,C16901,新客户
1776,C16945,新客户
1780,C16970,新客户
1781,C16974,新客户
1787,C17002,新客户
1794,C17020,新客户
1805,C17052,新客户
1810,C1706,新客户
1811,C1707,新客户
1812,C17070,新客户
1814,C17079,新客户
1823,C17134,新客户
1824,C17142,新客户
1826,C17148,新客户
1827,C17150,新客户
1833,C17173,新客户
1834,C17175,新客户
1835,C17177,新客户
1839,C17190,新客户
1845,C17240,新客户
1854,C17273,新客户
1857,C17281,新客户
1861,C17295,新客户
1866,C17316,新客户
1870,C17320,新客户
1875,C17349,新客户
1881,C17368,新客户
1882,C17373,新客户
1883,C17378,新客户
1886,C17394,新客户
1887,C17395,新客户
1893,C17425,新客户
1894,C17430,新客户
1897,C17437,新客户
1902,C17453,新客户
1907,C17465,新客户
1912,C17488,新客户
1913,C17493,新客户
1914,C17496,新客户
1916,C17503,新客户
1917,C17505,新客户
1920,C17511,新客户
1921,C17515,新客户
1924,C1752,新客户
1930,C17542,新客户
1931,C1755,新客户
1932,C17552,新客户
1934,C17560,新客户
1935,C1757,新客户
1936,C17574,新客户
1937,C17575,新客户
1940,C17591,新客户
1948,C1764,新客户
1954,C17664,新客户
1955,C17666,新客户
1958,C1769,新客户
1959,C17693,新客户
1960,C17694,新客户
1962,C177,新客户
1973,C17738,新客户
1977,C17749,新客户
1982,C17760,新客户
1985,C17776,新客户
1992,C1780,新客户
1993,C17801,新客户
1995,C17814,新客户
1997,C17826,新客户
2000,C17834,新客户
2006,C17854,新客户
2007,C17859,新客户
2011,C17871,新客户
2025,C17913,新客户
2031,C17957,新客户
2034,C17968,新客户
2037,C17979,新客户
2044,C18003,新客户
2048,C1802,新客户
2052,C18035,新客户
2060,C18057,新客户
2064,C18090,新客户
2068,C18111,新客户
2073,C18130,新客户
2084,C18189,新客户
2085,C18193,新客户
2086,C182,新客户
2088,C18204,新客户
2097,C18242,新客户
2098,C1825,新客户
2103,C18275,新客户
2105,C18284,新客户
2109,C18292,新客户
2127,C1836,新客户
2129,C18365,新客户
2130,C18367,新客户
2133,C18379,新客户
2136,C18390,新客户
2139,C184,新客户
2153,C18455,新客户
2156,C18461,新客户
2169,C1850,新客户
2189,C18590,新客户
2192,C18598,新客户
2208,C18643,新客户
2210,C18654,新客户
2229,C18716,新客户
2236,C18749,新客户
2244,C18786,新客户
2247,C18795,新客户
2248,C18798,新客户
2255,C18815,新客户
2259,C18826,新客户
2261,C18846,新客户
2262,C18865,新客户
2266,C18879,新客户
2267,C18882,新客户
2278,C18923,新客户
2279,C18927,新客户
2285,C18946,新客户
2288,C18954,新客户
2290,C18961,新客户
2295,C18975,新客户
2296,C18982,新客户
2298,C18993,新客户
2300,C18995,新客户
2303,C19005,新客户
2305,C19018,新客户
2309,C19036,新客户
2312,C19046,新客户
2332,C19125,新客户
2336,C19137,新客户
2338,C19142,新客户
2344,C19160,新客户
2354,C1920,新客户
2371,C19264,新客户
2372,C19271,新客户
2373,C19273,新客户
2375,C19281,新客户
2380,C19302,新客户
2394,C19368,新客户
2401,C19392,新客户
2403,C19398,新客户
2404,C19400,新客户
2411,C19415,新客户
2413,C19420,新客户
2422,C19466,新客户
2423,C19469,新客户
2426,C19487,新客户
2427,C19488,新客户
2439,C19544,新客户
2446,C19590,新客户
2449,C19606,新客户
2456,C19645,新客户
2458,C19649,新客户
2460,C19652,新客户
2464,C19669,新客户
2475,C19719,新客户
2476,C19723,新客户
2478,C19732,新客户
2489,C19776,新客户
2490,C19778,新客户
2500,C19813,新客户
2504,C19823,新客户
2505,C19824,新客户
2517,C19875,新客户
2523,C19904,新客户
2533,C19952,新客户
2535,C19961,新客户
2540,C19975,新客户
2541,C19977,新客户
2564,C201,新客户
2565,C20101,新客户
2573,C20131,新客户
2578,C20159,新客户
2584,C20172,新客户
2588,C20192,新客户
2599,C20248,新客户
2601,C20258,新客户
2603,C20276,新客户
2604,C20298,新客户
2616,C20342,新客户
2617,C20343,新客户
2621,C20358,新客户
2626,C20388,新客户
2629,C20398,新客户
2639,C20438,新客户
2642,C20444,新客户
2650,C20489,新客户
2661,C20527,新客户
2662,C2053,新客户
2666,C20537,新客户
2671,C20577,新客户
2675,C20585,新客户
2681,C20607,新客户
2686,C20633,新客户
2691,C20652,新客户
2696,C2067,新客户
2699,C2069,新客户
2702,C20692,新客户
2706,C20709,新客户
2709,C2072,新客户
2710,C20721,新客户
2713,C20725,新客户
2715,C20733,新客户
2719,C20746,新客户
2721,C20754,新客户
2722,C20763,新客户
2723,C20774,新客户
2724,C20775,新客户
2725,C20776,新客户
2728,C2078,新客户
2745,C2084,新客户
2746,C20854,新客户
2755,C2090,新客户
2763,C20928,新客户
2765,C20935,新客户
2770,C20959,新客户
2801,C21051,新客户
2806,C21068,新客户
2807,C21069,新客户
2813,C21089,新客户
2815,C21098,新客户
2817,C21109,新客户
2819,C21121,新客户
2826,C21147,新客户
2828,C21153,新客户
2830,C21174,新客户
2832,C21182,新客户
2837,C21199,新客户
2838,C21203,新客户
2840,C21206,新客户
2843,C21214,新客户
2849,C21231,新客户
2853,C21239,新客户
2858,C21249,新客户
2873,C21332,新客户
2874,C21337,新客户
2879,C21362,新客户
2881,C21368,新客户
2883,C21378,新客户
2886,C21393,新客户
2889,C21400,新客户
2893,C21429,新客户
2894,C21432,新客户
2905,C21461,新客户
2912,C21483,新客户
2914,C21502,新客户
2915,C21505,新客户
2916,C21509,新客户
2917,C21510,新客户
2923,C21534,新客户
2929,C21565,新客户
2930,C21573,新客户
2934,C21585,新客户
2938,C21597,新客户
2944,C21623,新客户
2947,C21634,新客户
2954,C2166,新客户
2959,C21671,新客户
2970,C217,新客户
2974,C21710,新客户
2978,C2173,新客户
2998,C21816,新客户
3001,C21825,新客户
3009,C21843,新客户
3015,C21858,新客户
3019,C21878,新客户
3032,C21921,新客户
3038,C21944,新客户
3042,C21962,新客户
3043,C21963,新客户
3050,C22017,新客户
3058,C22060,新客户
3070,C22120,新客户
3074,C22149,新客户
3077,C22168,新客户
3081,C22189,新客户
3085,C22220,新客户
3086,C22222,新客户
3088,C22227,新客户
3098,C22258,新客户
3114,C22299,新客户
3115,C22302,新客户
3116,C22305,新客户
3131,C22372,新客户
3137,C22394,新客户
3141,C22407,新客户
3145,C2242,新客户
3150,C22427,新客户
3153,C22436,新客户
3154,C22437,新客户
3155,C22443,新客户
3159,C22455,新客户
3162,C22467,新客户
3164,C22477,新客户
3169,C22493,新客户
3174,C22516,新客户
3183,C2256,新客户
3194,C2260,新客户
3199,C22621,新客户
3205,C22641,新客户
3216,C22670,新客户
3217,C22675,新客户
3219,C22680,新客户
3221,C22699,新客户
3228,C22714,新客户
3245,C22765,新客户
3256,C2280,新客户
3258,C22805,新客户
3266,C22833,新客户
3274,C22868,新客户
3283,C229,新客户
3295,C22944,新客户
3297,C22949,新客户
3301,C22963,新客户
3307,C22987,新客户
3310,C23013,新客户
3331,C23077,新客户
3341,C23112,新客户
3343,C23121,新客户
3345,C23125,新客户
3348,C23138,新客户
3353,C2316,新客户
3364,C23198,新客户
3367,C23216,新客户
3371,C23231,新客户
3373,C23245,新客户
3380,C23271,新客户
3382,C23274,新客户
3383,C23275,新客户
3400,C23350,新客户
3413,C23394,新客户
3415,C23402,新客户
3419,C23425,新客户
3424,C23444,新客户
3425,C23451,新客户
3429,C23466,新客户
3433,C23478,新客户
3434,C23485,新客户
3449,C23534,新客户
3459,C2357,新客户
3460,C2358,新客户
3461,C2359,新客户
3463,C2366,新客户
3466,C2374,新客户
3473,C2400,新客户
3491,C247,新客户
3492,C2470,新客户
3503,C2520,新客户
3504,C2524,新客户
3512,C2554,新客户
3518,C2578,新客户
3530,C2617,新客户
3532,C2623,新客户
3533,C2626,新客户
3541,C2653,新客户
3558,C2755,新客户
3560,C276,新客户
3563,C2769,新客户
3573,C2833,新客户
3575,C2844,新客户
3576,C2849,新客户
3578,C2851,新客户
3580,C2856,新客户
3587,C29,新客户
3591,C2909,新客户
3601,C2952,新客户
3605,C2964,新客户
3615,C3,新客户
3618,C3009,新客户
3621,C3014,新客户
3650,C3141,新客户
3665,C3193,新客户
3678,C3239,新客户
3680,C3250,新客户
3689,C3291,新客户
3693,C3311,新客户
3699,C3331,新客户
3701,C3334,新客户
3709,C337,新客户
3713,C3394,新客户
3718,C3407,新客户
3737,C3459,新客户
3738,C3461,新客户
3739,C3462,新客户
3747,C3487,新客户
3750,C3497,新客户
3757,C3538,新客户
3760,C3555,新客户
3762,C3560,新客户
3763,C3575,新客户
3766,C3592,新客户
3769,C360,新客户
3782,C3656,新客户
3783,C3657,新客户
3790,C3685,新客户
3791,C3686,新客户
3794,C37,新客户
3796,C3708,新客户
3802,C3725,新客户
3810,C376,新客户
3811,C3765,新客户
3820,C3795,新客户
3822,C3800,新客户
3823,C3801,新客户
3824,C3806,新客户
3827,C3833,新客户
3831,C3849,新客户
3832,C3852,新客户
3837,C3869,新客户
3841,C3878,新客户
3851,C3903,新客户
3882,C4026,新客户
3890,C4054,新客户
3893,C4062,新客户
3905,C4099,新客户
3909,C4118,新客户
3912,C4123,新客户
3913,C4128,新客户
3915,C4143,新客户
3922,C4161,新客户
3927,C4180,新客户
3947,C4263,新客户
3950,C4268,新客户
3953,C4274,新客户
3955,C4278,新客户
3961,C43,新客户
3966,C4320,新客户
3967,C4323,新客户
3969,C4326,新客户
3974,C4336,新客户
3975,C4337,新客户
3976,C4340,新客户
3988,C441,新客户
3990,C4413,新客户
3993,C4424,新客户
4001,C4455,新客户
4004,C446,新客户
4005,C4460,新客户
4006,C4461,新客户
4014,C4505,新客户
4022,C4536,新客户
4027,C4566,新客户
4038,C4642,新客户
4049,C4681,新客户
4053,C4699,新客户
4055,C4709,新客户
4065,C4756,新客户
4074,C4798,新客户
4080,C4827,新客户
4084,C4836,新客户
4092,C4864,新客户
4106,C4913,新客户
4110,C492,新客户
4113,C4935,新客户
4118,C4962,新客户
4119,C4971,新客户
4131,C5003,新客户
4134,C5007,新客户
4135,C5011,新客户
4137,C5026,新客户
4139,C5032,新客户
4147,C5065,新客户
4153,C5085,新客户
4160,C5110,新客户
4167,C5124,新客户
4175,C5152,新客户
4177,C5160,新客户
4180,C5169,新客户
4184,C5183,新客户
4185,C5184,新客户
4197,C5237,新客户
4198,C5239,新客户
4202,C5252,新客户
4212,C5287,新客户
4215,C53,新客户
4216,C5300,新客户
4219,C5332,新客户
4228,C5377,新客户
4245,C5440,新客户
4247,C5445,新客户
4249,C5450,新客户
4250,C546,新客户
4253,C5469,新客户
4262,C5515,新客户
4263,C5519,新客户
4274,C5575,新客户
4276,C5594,新客户
4279,C5606,新客户
4287,C5645,新客户
4288,C5648,新客户
4303,C5687,新客户
4311,C572,新客户
4312,C5721,新客户
4313,C5725,新客户
4316,C5735,新客户
4326,C5775,新客户
4332,C5827,新客户
4339,C5860,新客户
4343,C5870,新客户
4353,C5908,新客户
4354,C591,新客户
4362,C5944,新客户
4365,C5963,新客户
4366,C5969,新客户
4374,C6003,新客户
4383,C6045,新客户
4386,C6056,新客户
4392,C6067,新客户
4394,C6073,新客户
4398,C6085,新客户
4405,C6108,新客户
4411,C6135,新客户
4420,C616,新客户
4425,C6181,新客户
4431,C6197,新客户
4432,C6205,新客户
4433,C6207,新客户
