,顾客,客户价值分类
0,C100,流失客户
6,C10035,流失客户
11,C10044,流失客户
13,C10054,流失客户
15,C10058,流失客户
17,C10064,流失客户
20,C10071,流失客户
21,C10074,流失客户
25,C10081,流失客户
29,C10090,流失客户
34,C10103,流失客户
35,C10106,流失客户
46,C10139,流失客户
51,C10163,流失客户
52,C10166,流失客户
53,C10168,流失客户
55,C10172,流失客户
58,C10184,流失客户
59,C10185,流失客户
60,C10188,流失客户
61,C10193,流失客户
66,C10225,流失客户
67,C10227,流失客户
78,C10294,流失客户
80,C103,流失客户
81,C10302,流失客户
86,C10327,流失客户
92,C10353,流失客户
96,C10390,流失客户
97,C10395,流失客户
100,C1041,流失客户
102,C10423,流失客户
103,C10427,流失客户
110,C10469,流失客户
119,C10499,流失客户
125,C10533,流失客户
126,C10539,流失客户
127,C10542,流失客户
133,C10579,流失客户
137,C106,流失客户
140,C10603,流失客户
146,C10628,流失客户
147,C10635,流失客户
149,C10650,流失客户
151,C10661,流失客户
154,C1068,流失客户
155,C10687,流失客户
158,C10698,流失客户
159,C10702,流失客户
167,C10755,流失客户
168,C10761,流失客户
172,C10770,流失客户
177,C10795,流失客户
180,C10806,流失客户
181,C10809,流失客户
182,C10810,流失客户
184,C10812,流失客户
187,C10819,流失客户
195,C10838,流失客户
200,C10857,流失客户
201,C10858,流失客户
202,C10860,流失客户
204,C10864,流失客户
206,C10874,流失客户
209,C10888,流失客户
213,C10903,流失客户
215,C10908,流失客户
220,C10947,流失客户
236,C10996,流失客户
238,C11,流失客户
239,C11003,流失客户
242,C11011,流失客户
250,C1104,流失客户
251,C11044,流失客户
259,C1108,流失客户
260,C11086,流失客户
261,C11088,流失客户
263,C11098,流失客户
265,C11104,流失客户
268,C1111,流失客户
269,C11119,流失客户
272,C11129,流失客户
273,C11130,流失客户
276,C11140,流失客户
278,C11146,流失客户
281,C11160,流失客户
286,C11191,流失客户
288,C1120,流失客户
289,C11203,流失客户
290,C1121,流失客户
292,C11215,流失客户
293,C11222,流失客户
295,C11227,流失客户
297,C11246,流失客户
301,C11269,流失客户
310,C113,流失客户
311,C11306,流失客户
321,C11347,流失客户
322,C11356,流失客户
323,C11364,流失客户
328,C11382,流失客户
335,C11417,流失客户
336,C11419,流失客户
340,C11425,流失客户
342,C11466,流失客户
344,C11474,流失客户
346,C1148,流失客户
347,C11481,流失客户
353,C11499,流失客户
355,C11502,流失客户
356,C11508,流失客户
360,C11521,流失客户
366,C11532,流失客户
372,C11545,流失客户
373,C11546,流失客户
378,C11563,流失客户
385,C11601,流失客户
388,C11605,流失客户
394,C11627,流失客户
399,C11644,流失客户
400,C11651,流失客户
401,C11652,流失客户
404,C11668,流失客户
416,C117,流失客户
418,C11704,流失客户
419,C11707,流失客户
422,C11711,流失客户
423,C11713,流失客户
425,C11717,流失客户
428,C11734,流失客户
429,C11737,流失客户
432,C11748,流失客户
438,C11763,流失客户
440,C11772,流失客户
441,C11779,流失客户
442,C11794,流失客户
445,C11808,流失客户
450,C11822,流失客户
453,C11826,流失客户
461,C11847,流失客户
465,C11889,流失客户
469,C11906,流失客户
471,C11911,流失客户
472,C11915,流失客户
474,C11919,流失客户
475,C1192,流失客户
479,C11942,流失客户
482,C11951,流失客户
483,C11957,流失客户
484,C11959,流失客户
485,C1196,流失客户
486,C11962,流失客户
487,C11964,流失客户
488,C11967,流失客户
489,C11975,流失客户
491,C11981,流失客户
493,C11986,流失客户
494,C11988,流失客户
495,C11994,流失客户
501,C12008,流失客户
503,C12016,流失客户
505,C12024,流失客户
507,C12031,流失客户
509,C12043,流失客户
516,C12063,流失客户
520,C12081,流失客户
523,C12092,流失客户
528,C12112,流失客户
529,C12120,流失客户
530,C12123,流失客户
533,C12138,流失客户
534,C12139,流失客户
540,C12160,流失客户
541,C12164,流失客户
542,C12176,流失客户
543,C12182,流失客户
544,C12183,流失客户
549,C12194,流失客户
550,C12196,流失客户
555,C12219,流失客户
557,C12223,流失客户
559,C12231,流失客户
560,C12235,流失客户
562,C12239,流失客户
565,C12253,流失客户
566,C12254,流失客户
567,C1226,流失客户
568,C12260,流失客户
569,C12261,流失客户
572,C12280,流失客户
573,C12285,流失客户
576,C12291,流失客户
578,C12297,流失客户
579,C12301,流失客户
583,C12323,流失客户
589,C12353,流失客户
592,C12358,流失客户
593,C1236,流失客户
596,C12368,流失客户
598,C12373,流失客户
599,C12381,流失客户
600,C12389,流失客户
603,C12401,流失客户
604,C1241,流失客户
605,C12415,流失客户
610,C12441,流失客户
613,C12454,流失客户
616,C12462,流失客户
618,C12467,流失客户
624,C12477,流失客户
626,C12480,流失客户
628,C12488,流失客户
633,C1250,流失客户
634,C12500,流失客户
635,C12502,流失客户
636,C12503,流失客户
637,C12507,流失客户
638,C12509,流失客户
644,C12530,流失客户
648,C12538,流失客户
649,C1254,流失客户
650,C12544,流失客户
651,C12547,流失客户
656,C12557,流失客户
662,C1257,流失客户
664,C12577,流失客户
667,C12580,流失客户
669,C12593,流失客户
670,C12594,流失客户
671,C12595,流失客户
