,顾客,客户价值分类
23,C10079,重要价值客户
32,C10101,重要价值客户
36,C10111,重要价值客户
39,C10116,重要价值客户
40,C10119,重要价值客户
44,C10131,重要价值客户
62,C10197,重要价值客户
64,C10218,重要价值客户
65,C10219,重要价值客户
69,C10242,重要价值客户
82,C10306,重要价值客户
95,C10370,重要价值客户
104,C10432,重要价值客户
105,C10446,重要价值客户
114,C10475,重要价值客户
121,C10516,重要价值客户
136,C10588,重要价值客户
138,C10600,重要价值客户
141,C10609,重要价值客户
148,C10639,重要价值客户
160,C10703,重要价值客户
171,C1077,重要价值客户
207,C10879,重要价值客户
212,C10902,重要价值客户
222,C10954,重要价值客户
247,C11021,重要价值客户
248,C11024,重要价值客户
249,C11039,重要价值客户
252,C11055,重要价值客户
264,C111,重要价值客户
267,C11109,重要价值客户
280,C11159,重要价值客户
296,C11235,重要价值客户
304,C11279,重要价值客户
306,C11288,重要价值客户
307,C11292,重要价值客户
309,C11298,重要价值客户
341,C11462,重要价值客户
345,C11475,重要价值客户
348,C11482,重要价值客户
352,C11494,重要价值客户
359,C11519,重要价值客户
381,C11572,重要价值客户
383,C11584,重要价值客户
386,C11603,重要价值客户
395,C11628,重要价值客户
433,C11749,重要价值客户
435,C11756,重要价值客户
439,C11771,重要价值客户
456,C11832,重要价值客户
463,C11885,重要价值客户
478,C11938,重要价值客户
481,C1195,重要价值客户
496,C11995,重要价值客户
525,C12098,重要价值客户
526,C12102,重要价值客户
527,C12108,重要价值客户
531,C12127,重要价值客户
545,C12184,重要价值客户
551,C12204,重要价值客户
571,C12272,重要价值客户
577,C12295,重要价值客户
588,C12352,重要价值客户
595,C12367,重要价值客户
602,C12400,重要价值客户
609,C12435,重要价值客户
614,C12455,重要价值客户
619,C1247,重要价值客户
623,C12476,重要价值客户
627,C12483,重要价值客户
629,C12489,重要价值客户
642,C12523,重要价值客户
652,C12548,重要价值客户
661,C12568,重要价值客户
666,C1258,重要价值客户
673,C12600,重要价值客户
674,C12601,重要价值客户
683,C12649,重要价值客户
704,C12750,重要价值客户
723,C1284,重要价值客户
725,C12843,重要价值客户
728,C12860,重要价值客户
729,C12879,重要价值客户
730,C12882,重要价值客户
731,C12885,重要价值客户
737,C12906,重要价值客户
738,C12913,重要价值客户
744,C12934,重要价值客户
745,C12938,重要价值客户
749,C12947,重要价值客户
760,C12973,重要价值客户
769,C12999,重要价值客户
777,C13032,重要价值客户
782,C13052,重要价值客户
787,C13078,重要价值客户
789,C13093,重要价值客户
811,C13167,重要价值客户
814,C13172,重要价值客户
820,C13183,重要价值客户
843,C13332,重要价值客户
860,C13386,重要价值客户
861,C13387,重要价值客户
868,C13403,重要价值客户
874,C13425,重要价值客户
881,C13439,重要价值客户
892,C13472,重要价值客户
896,C13493,重要价值客户
898,C13497,重要价值客户
909,C13541,重要价值客户
920,C13563,重要价值客户
921,C13565,重要价值客户
929,C13603,重要价值客户
930,C13609,重要价值客户
935,C13638,重要价值客户
941,C13680,重要价值客户
950,C13708,重要价值客户
972,C13846,重要价值客户
973,C1385,重要价值客户
983,C13902,重要价值客户
984,C13903,重要价值客户
994,C13931,重要价值客户
1002,C1396,重要价值客户
1022,C14019,重要价值客户
1023,C14023,重要价值客户
1029,C14048,重要价值客户
1038,C14083,重要价值客户
1045,C1410,重要价值客户
1050,C14112,重要价值客户
1059,C14146,重要价值客户
1062,C14153,重要价值客户
1064,C14158,重要价值客户
1070,C14184,重要价值客户
1106,C14305,重要价值客户
1107,C14314,重要价值客户
1117,C14348,重要价值客户
1119,C14350,重要价值客户
1134,C14403,重要价值客户
1152,C14453,重要价值客户
1161,C14491,重要价值客户
1166,C14504,重要价值客户
1180,C14577,重要价值客户
1184,C14599,重要价值客户
1186,C14604,重要价值客户
1194,C14625,重要价值客户
1196,C14632,重要价值客户
1199,C14637,重要价值客户
1205,C1468,重要价值客户
1235,C14790,重要价值客户
