,顾客,客户价值分类
4,C10027,重要召回客户
47,C10143,重要召回客户
113,C10473,重要召回客户
131,C10560,重要召回客户
142,C10613,重要召回客户
298,C11249,重要召回客户
319,C11341,重要召回客户
326,C11371,重要召回客户
349,C11483,重要召回客户
357,C11513,重要召回客户
390,C1161,重要召回客户
409,C11682,重要召回客户
459,C11840,重要召回客户
514,C12056,重要召回客户
561,C12238,重要召回客户
615,C12457,重要召回客户
654,C12553,重要召回客户
658,C12562,重要召回客户
681,C12637,重要召回客户
726,C12845,重要召回客户
753,C12954,重要召回客户
813,C13171,重要召回客户
847,C13345,重要召回客户
893,C13487,重要召回客户
1021,C14015,重要召回客户
1028,C14046,重要召回客户
1053,C1412,重要召回客户
1078,C14208,重要召回客户
1081,C14217,重要召回客户
1122,C14361,重要召回客户
1125,C14374,重要召回客户
1151,C14450,重要召回客户
1157,C14479,重要召回客户
1167,C14505,重要召回客户
1183,C14589,重要召回客户
1201,C14646,重要召回客户
1208,C14693,重要召回客户
1216,C14714,重要召回客户
1225,C14749,重要召回客户
1311,C15100,重要召回客户
1318,C15135,重要召回客户
1323,C15149,重要召回客户
1382,C15365,重要召回客户
1387,C15379,重要召回客户
1422,C15505,重要召回客户
1465,C15706,重要召回客户
1513,C1590,重要召回客户
1516,C15929,重要召回客户
1572,C16118,重要召回客户
1587,C16175,重要召回客户
1588,C16183,重要召回客户
1653,C16461,重要召回客户
1722,C16718,重要召回客户
1732,C16774,重要召回客户
1747,C16822,重要召回客户
1879,C17361,重要召回客户
1923,C17519,重要召回客户
1926,C17523,重要召回客户
1933,C17559,重要召回客户
1990,C17796,重要召回客户
2067,C18108,重要召回客户
2091,C18215,重要召回客户
2101,C18261,重要召回客户
2110,C18295,重要召回客户
2147,C18424,重要召回客户
2151,C18445,重要召回客户
2152,C1845,重要召回客户
2167,C18499,重要召回客户
2185,C18580,重要召回客户
2239,C18769,重要召回客户
2264,C18868,重要召回客户
2275,C18917,重要召回客户
2341,C19158,重要召回客户
2386,C19324,重要召回客户
2405,C19401,重要召回客户
2443,C19573,重要召回客户
2494,C19791,重要召回客户
2526,C1991,重要召回客户
2592,C2021,重要召回客户
2607,C20306,重要召回客户
2613,C2033,重要召回客户
2638,C20425,重要召回客户
2641,C20441,重要召回客户
2651,C20497,重要召回客户
2695,C20668,重要召回客户
2703,C20695,重要召回客户
2757,C20917,重要召回客户
2758,C2092,重要召回客户
2768,C20944,重要召回客户
2835,C21192,重要召回客户
2902,C21448,重要召回客户
2931,C21579,重要召回客户
2945,C21628,重要召回客户
2958,C21666,重要召回客户
2966,C21693,重要召回客户
3107,C22279,重要召回客户
3120,C22314,重要召回客户
3128,C22356,重要召回客户
3138,C22395,重要召回客户
3167,C22487,重要召回客户
3168,C22492,重要召回客户
3188,C22581,重要召回客户
3200,C22624,重要召回客户
3210,C22656,重要召回客户
3236,C22741,重要召回客户
3261,C2282,重要召回客户
3288,C22918,重要召回客户
3291,C22937,重要召回客户
3309,C23000,重要召回客户
3326,C23071,重要召回客户
3330,C23076,重要召回客户
3332,C2308,重要召回客户
3366,C23207,重要召回客户
3392,C23313,重要召回客户
3407,C23370,重要召回客户
3477,C2420,重要召回客户
3500,C2509,重要召回客户
3598,C2941,重要召回客户
3602,C2953,重要召回客户
3690,C33,重要召回客户
3720,C3412,重要召回客户
3721,C3413,重要召回客户
3722,C3415,重要召回客户
3754,C3523,重要召回客户
3828,C3835,重要召回客户
3839,C3870,重要召回客户
3903,C4091,重要召回客户
3910,C4119,重要召回客户
3925,C4177,重要召回客户
3937,C4225,重要召回客户
3998,C4448,重要召回客户
4017,C4518,重要召回客户
4025,C4556,重要召回客户
4037,C4641,重要召回客户
4047,C4678,重要召回客户
4071,C4780,重要召回客户
4096,C4881,重要召回客户
4170,C5135,重要召回客户
4194,C5226,重要召回客户
4229,C5379,重要召回客户
4240,C5420,重要召回客户
4289,C5649,重要召回客户
4291,C5657,重要召回客户
4300,C5677,重要召回客户
4334,C5835,重要召回客户
4344,C5876,重要召回客户
4422,C6163,重要召回客户
4427,C6185,重要召回客户
4441,C6244,重要召回客户
4481,C6397,重要召回客户
4485,C6409,重要召回客户
4601,C6972,重要召回客户
4688,C7323,重要召回客户
4794,C7740,重要召回客户
4815,C7825,重要召回客户
4836,C7906,重要召回客户
4884,C8054,重要召回客户
4893,C8091,重要召回客户
4896,C8105,重要召回客户
4936,C825,重要召回客户
4939,C8265,重要召回客户
4965,C8381,重要召回客户
4971,C8409,重要召回客户
5037,C8655,重要召回客户
5087,C887,重要召回客户
5203,C9358,重要召回客户
5208,C938,重要召回客户
5219,C9423,重要召回客户
5286,C9699,重要召回客户
5302,C9748,重要召回客户
5308,C9761,重要召回客户
5311,C979,重要召回客户
5316,C9798,重要召回客户
5322,C981,重要召回客户
5358,C9933,重要召回客户
