,顾客,客户价值分类
3,C10026,重要挽留客户
9,C1004,重要挽留客户
10,C10043,重要挽留客户
12,C10047,重要挽留客户
14,C10056,重要挽留客户
28,C10085,重要挽留客户
63,C102,重要挽留客户
73,C10259,重要挽留客户
76,C10272,重要挽留客户
84,C10315,重要挽留客户
89,C10344,重要挽留客户
91,C10352,重要挽留客户
108,C10456,重要挽留客户
111,C10471,重要挽留客户
112,C10472,重要挽留客户
116,C10481,重要挽留客户
117,C10489,重要挽留客户
120,C10515,重要挽留客户
124,C1053,重要挽留客户
128,C10544,重要挽留客户
129,C10546,重要挽留客户
144,C10621,重要挽留客户
156,C10689,重要挽留客户
183,C10811,重要挽留客户
185,C10813,重要挽留客户
188,C1082,重要挽留客户
190,C10822,重要挽留客户
191,C10823,重要挽留客户
199,C10855,重要挽留客户
203,C10863,重要挽留客户
217,C10924,重要挽留客户
225,C10964,重要挽留客户
240,C11004,重要挽留客户
241,C11006,重要挽留客户
245,C11016,重要挽留客户
246,C11017,重要挽留客户
253,C11063,重要挽留客户
266,C11107,重要挽留客户
277,C11143,重要挽留客户
284,C11175,重要挽留客户
291,C11213,重要挽留客户
299,C11251,重要挽留客户
312,C11311,重要挽留客户
315,C11326,重要挽留客户
320,C11346,重要挽留客户
329,C11390,重要挽留客户
330,C11396,重要挽留客户
332,C114,重要挽留客户
333,C11404,重要挽留客户
354,C11501,重要挽留客户
361,C11524,重要挽留客户
364,C1153,重要挽留客户
365,C11530,重要挽留客户
367,C11533,重要挽留客户
374,C1155,重要挽留客户
384,C11586,重要挽留客户
397,C11630,重要挽留客户
398,C11635,重要挽留客户
406,C1167,重要挽留客户
407,C11675,重要挽留客户
411,C11685,重要挽留客户
412,C11687,重要挽留客户
413,C11690,重要挽留客户
447,C11812,重要挽留客户
448,C11814,重要挽留客户
468,C11905,重要挽留客户
497,C12000,重要挽留客户
506,C12030,重要挽留客户
536,C12148,重要挽留客户
548,C12191,重要挽留客户
552,C12207,重要挽留客户
553,C1221,重要挽留客户
554,C12215,重要挽留客户
575,C1229,重要挽留客户
611,C12445,重要挽留客户
617,C12466,重要挽留客户
620,C12471,重要挽留客户
625,C1248,重要挽留客户
630,C12493,重要挽留客户
640,C12515,重要挽留客户
641,C12521,重要挽留客户
659,C12566,重要挽留客户
663,C12571,重要挽留客户
668,C12591,重要挽留客户
677,C12613,重要挽留客户
686,C12665,重要挽留客户
688,C12671,重要挽留客户
695,C12709,重要挽留客户
703,C12747,重要挽留客户
707,C12764,重要挽留客户
724,C12842,重要挽留客户
727,C12852,重要挽留客户
734,C12892,重要挽留客户
740,C1292,重要挽留客户
746,C12939,重要挽留客户
747,C1294,重要挽留客户
752,C12953,重要挽留客户
755,C1296,重要挽留客户
764,C12986,重要挽留客户
766,C12991,重要挽留客户
791,C13099,重要挽留客户
804,C13147,重要挽留客户
831,C13264,重要挽留客户
846,C13338,重要挽留客户
850,C13363,重要挽留客户
853,C13368,重要挽留客户
858,C13384,重要挽留客户
862,C13390,重要挽留客户
875,C13429,重要挽留客户
879,C13435,重要挽留客户
885,C13451,重要挽留客户
902,C13519,重要挽留客户
903,C13520,重要挽留客户
905,C13527,重要挽留客户
910,C13543,重要挽留客户
911,C13544,重要挽留客户
914,C13550,重要挽留客户
927,C13588,重要挽留客户
931,C13619,重要挽留客户
937,C13658,重要挽留客户
938,C13666,重要挽留客户
948,C13702,重要挽留客户
957,C13736,重要挽留客户
967,C13806,重要挽留客户
969,C13823,重要挽留客户
971,C13845,重要挽留客户
975,C13857,重要挽留客户
976,C13864,重要挽留客户
977,C13867,重要挽留客户
980,C13890,重要挽留客户
982,C13901,重要挽留客户
987,C13909,重要挽留客户
988,C13910,重要挽留客户
1001,C13959,重要挽留客户
1005,C13963,重要挽留客户
1006,C13967,重要挽留客户
1011,C13977,重要挽留客户
1018,C14003,重要挽留客户
1026,C14039,重要挽留客户
1030,C1406,重要挽留客户
1032,C14063,重要挽留客户
1046,C14100,重要挽留客户
1049,C1411,重要挽留客户
1055,C14123,重要挽留客户
1063,C14154,重要挽留客户
1065,C1416,重要挽留客户
1075,C14204,重要挽留客户
1077,C14207,重要挽留客户
1087,C14229,重要挽留客户
1089,C14234,重要挽留客户
1096,C1427,重要挽留客户
1098,C14275,重要挽留客户
1102,C14296,重要挽留客户
1113,C14333,重要挽留客户
1129,C14386,重要挽留客户
1140,C14419,重要挽留客户
1141,C14422,重要挽留客户
1146,C14437,重要挽留客户
1147,C1444,重要挽留客户
1168,C14507,重要挽留客户
1170,C14536,重要挽留客户
1176,C14564,重要挽留客户
1178,C14568,重要挽留客户
1179,C14569,重要挽留客户
1188,C14606,重要挽留客户
1198,C14635,重要挽留客户
1215,C14713,重要挽留客户
1218,C14721,重要挽留客户
1223,C14744,重要挽留客户
1226,C14764,重要挽留客户
1229,C14772,重要挽留客户
1233,C14781,重要挽留客户
1238,C148,重要挽留客户
1243,C14813,重要挽留客户
1244,C14814,重要挽留客户
1258,C1488,重要挽留客户
1267,C14930,重要挽留客户
1278,C14967,重要挽留客户
1301,C15061,重要挽留客户
1302,C15079,重要挽留客户
1303,C15080,重要挽留客户
1307,C1509,重要挽留客户
1329,C15163,重要挽留客户
1338,C15201,重要挽留客户
1346,C15234,重要挽留客户
1349,C15249,重要挽留客户
1350,C1525,重要挽留客户
1352,C15259,重要挽留客户
1359,C15288,重要挽留客户
1360,C15289,重要挽留客户
1388,C15380,重要挽留客户
1390,C15383,重要挽留客户
1398,C15415,重要挽留客户
1410,C15457,重要挽留客户
1411,C15460,重要挽留客户
1413,C15467,重要挽留客户
1418,C15491,重要挽留客户
1420,C15503,重要挽留客户
1430,C15529,重要挽留客户
1441,C15598,重要挽留客户
1445,C15623,重要挽留客户
1451,C15637,重要挽留客户
1454,C15642,重要挽留客户
1468,C15744,重要挽留客户
1475,C1577,重要挽留客户
1490,C15814,重要挽留客户
1495,C15831,重要挽留客户
1499,C15847,重要挽留客户
1501,C15850,重要挽留客户
1504,C15862,重要挽留客户
1529,C1598,重要挽留客户
1538,C16021,重要挽留客户
1550,C16059,重要挽留客户
1552,C16060,重要挽留客户
1554,C16067,重要挽留客户
1556,C16081,重要挽留客户
1566,C16098,重要挽留客户
1570,C16101,重要挽留客户
1601,C16256,重要挽留客户
1623,C16354,重要挽留客户
1627,C16366,重要挽留客户
1629,C16371,重要挽留客户
1637,C16407,重要挽留客户
1643,C16434,重要挽留客户
1649,C16447,重要挽留客户
1661,C16483,重要挽留客户
1671,C16529,重要挽留客户
1683,C16574,重要挽留客户
1697,C16623,重要挽留客户
1698,C16628,重要挽留客户
1708,C16682,重要挽留客户
1710,C16684,重要挽留客户
1712,C1669,重要挽留客户
1716,C16704,重要挽留客户
1727,C1673,重要挽留客户
1728,C1675,重要挽留客户
1730,C16764,重要挽留客户
1733,C16775,重要挽留客户
1735,C16785,重要挽留客户
1756,C16848,重要挽留客户
1760,C1687,重要挽留客户
1767,C16900,重要挽留客户
1782,C16983,重要挽留客户
1786,C1700,重要挽留客户
1789,C17006,重要挽留客户
1819,C17110,重要挽留客户
1831,C17168,重要挽留客户
1836,C17178,重要挽留客户
1843,C17220,重要挽留客户
1849,C17257,重要挽留客户
1850,C17259,重要挽留客户
1867,C17317,重要挽留客户
1877,C17359,重要挽留客户
1880,C17367,重要挽留客户
1892,C17423,重要挽留客户
1900,C17448,重要挽留客户
1906,C17463,重要挽留客户
1909,C17477,重要挽留客户
1929,C17532,重要挽留客户
1956,C17673,重要挽留客户
1966,C17717,重要挽留客户
1968,C1772,重要挽留客户
1978,C17751,重要挽留客户
1983,C17763,重要挽留客户
1994,C17803,重要挽留客户
1996,C17819,重要挽留客户
2004,C17849,重要挽留客户
2008,C17861,重要挽留客户
2015,C17888,重要挽留客户
2020,C1790,重要挽留客户
2045,C18004,重要挽留客户
2059,C18056,重要挽留客户
2066,C18103,重要挽留客户
2080,C18171,重要挽留客户
2095,C18230,重要挽留客户
2100,C18259,重要挽留客户
2119,C18326,重要挽留客户
2124,C18348,重要挽留客户
2125,C18354,重要挽留客户
2141,C18405,重要挽留客户
2143,C18416,重要挽留客户
2155,C18460,重要挽留客户
2162,C18487,重要挽留客户
2163,C18493,重要挽留客户
2181,C18547,重要挽留客户
2186,C18581,重要挽留客户
2187,C18584,重要挽留客户
2211,C18658,重要挽留客户
2212,C18660,重要挽留客户
2218,C1869,重要挽留客户
2221,C18696,重要挽留客户
2224,C18702,重要挽留客户
2227,C18710,重要挽留客户
2232,C18738,重要挽留客户
2238,C18765,重要挽留客户
2240,C1877,重要挽留客户
