,顾客,客户价值分类
16,C10061,重要维护客户
18,C10067,重要维护客户
30,C10096,重要维护客户
31,C10098,重要维护客户
33,C10102,重要维护客户
42,C10123,重要维护客户
50,C10161,重要维护客户
56,C1018,重要维护客户
57,C10183,重要维护客户
68,C10236,重要维护客户
71,C1025,重要维护客户
79,C10295,重要维护客户
88,C10339,重要维护客户
90,C10347,重要维护客户
94,C1037,重要维护客户
101,C10412,重要维护客户
106,C10447,重要维护客户
107,C1045,重要维护客户
118,C10495,重要维护客户
130,C10549,重要维护客户
135,C10586,重要维护客户
143,C10620,重要维护客户
150,C10654,重要维护客户
152,C10671,重要维护客户
153,C10678,重要维护客户
157,C10692,重要维护客户
161,C1071,重要维护客户
162,C10719,重要维护客户
165,C10744,重要维护客户
170,C10768,重要维护客户
173,C10774,重要维护客户
178,C10797,重要维护客户
189,C10820,重要维护客户
193,C10832,重要维护客户
196,C1084,重要维护客户
198,C1085,重要维护客户
205,C1087,重要维护客户
208,C10887,重要维护客户
210,C10892,重要维护客户
214,C10904,重要维护客户
216,C1092,重要维护客户
219,C1094,重要维护客户
226,C10965,重要维护客户
229,C10977,重要维护客户
232,C10984,重要维护客户
234,C1099,重要维护客户
235,C10992,重要维护客户
237,C10998,重要维护客户
254,C11066,重要维护客户
255,C11069,重要维护客户
262,C11097,重要维护客户
279,C11155,重要维护客户
282,C11171,重要维护客户
283,C11174,重要维护客户
294,C11225,重要维护客户
302,C11272,重要维护客户
305,C11285,重要维护客户
308,C11296,重要维护客户
314,C11324,重要维护客户
316,C1133,重要维护客户
324,C11369,重要维护客户
337,C11421,重要维护客户
350,C11487,重要维护客户
351,C11488,重要维护客户
358,C11515,重要维护客户
362,C11527,重要维护客户
368,C11536,重要维护客户
369,C11537,重要维护客户
370,C11538,重要维护客户
371,C11543,重要维护客户
377,C11559,重要维护客户
380,C11569,重要维护客户
382,C11574,重要维护客户
391,C11610,重要维护客户
393,C11624,重要维护客户
396,C11629,重要维护客户
402,C11656,重要维护客户
405,C11669,重要维护客户
410,C11683,重要维护客户
414,C11693,重要维护客户
415,C11697,重要维护客户
417,C1170,重要维护客户
420,C1171,重要维护客户
426,C11720,重要维护客户
427,C11729,重要维护客户
430,C11740,重要维护客户
431,C11747,重要维护客户
434,C11753,重要维护客户
437,C1176,重要维护客户
444,C11805,重要维护客户
446,C11809,重要维护客户
451,C11823,重要维护客户
454,C11827,重要维护客户
455,C1183,重要维护客户
462,C11860,重要维护客户
464,C11887,重要维护客户
467,C11903,重要维护客户
470,C11909,重要维护客户
473,C11918,重要维护客户
477,C11934,重要维护客户
498,C12002,重要维护客户
500,C12007,重要维护客户
502,C1201,重要维护客户
504,C12022,重要维护客户
508,C12034,重要维护客户
510,C12046,重要维护客户
511,C12048,重要维护客户
512,C12050,重要维护客户
515,C12060,重要维护客户
518,C12072,重要维护客户
521,C12082,重要维护客户
522,C12089,重要维护客户
532,C12128,重要维护客户
535,C12141,重要维护客户
537,C12149,重要维护客户
538,C12152,重要维护客户
539,C12154,重要维护客户
546,C12188,重要维护客户
556,C12221,重要维护客户
563,C12241,重要维护客户
564,C12242,重要维护客户
570,C12270,重要维护客户
580,C12310,重要维护客户
582,C12322,重要维护客户
584,C12331,重要维护客户
585,C12336,重要维护客户
586,C12338,重要维护客户
590,C12354,重要维护客户
594,C12360,重要维护客户
601,C12399,重要维护客户
